id,name,description,waterbody_id,,,
1,L Main Restigouche River at Yellow Brook,LMR by Yellow Brook,16950,,,
2,Clearwater Brook - Off KK36,Off KK36 (above CS13),4901,,,
3,Clearwater Brook,,4901,,,
4,Clearwater Brook,Off KK36 (above CS13),4901,,,
5,Clearwater Brook - Fire road off NN Road,Fire road off NN Road,4901,,,
6,NE Br Clearwater Brook - NN Road Crossing,Northeast Clearwater - NN Road crossing,5106,,,
7,Clearwater Brook,Upstream of NE Clearwater confluence,4901,,,
8,Fairley Brook - Martin Road crossing,Fairley Brook - Martin Road crossing,5130,,,
9,Clearwater Fence,Counting fence location,4901,,,
10,Clearwater Brook Fence (1996),Old (1996) counting fence site,4901,,,
11,N Br Burnthill Brook,Site begins 20 m downstream of bridge on main road in Deersdale,4678,,,
12,L Main Restigouche River - 2nd bridge,LMR 2nd bridge,16950,,,
13,S Br Burnthill Brook,,4620,,,
14,Burnthill Brook,At confluence of Colepaugh Brook,4601,,,
15,McKiel Brook,10m upstream of new bridge crossing on Road ??,4401,,,
16,McKiel Brook,Turn onto Road F, travel as road takes a sharp left then follow to right turn, stop at this turn and walk through woods,4401,
17,Beadle Brook - Site 1.7 km upstream of Road I-11,Site 1.7 km upstream of gated Road I-11 bridge, accesed by turning onto Road I-11-A, stop at first turnabout and walk through woods,4169,
18,Beadle Brook - Bridge crossing on I-11,Directly upstream of bridge crossing on gated Road I-11,4169,,,
19,Beadle Brook - Sweet camp,"Sweet camp (Upstream of ""Landing"" located approximately 2.4 km from I-11 bridge crossing)",4169,,,
20,L Main Restigouche River - Camp 5 Picnic Site,Camp 5 Picnic Site,16950,,,
21,Alex Brook,Downstream of road crossing,17729,,,
22,L Main Restigouche River - Second Fish and Game Camp,Second Fish and Game Camp,16950,,,
23,Wilson Brook,Downstream of road crossing,17766,,,
24,L Main Restigouche River - First Fish and Game Camp,First Fish and Game Camp,16950,,,
25,Russell Brook,,17598,,,
26,Rocky Brook - LL Road Crossing,LL Road Crossing,5301,,,
27,Cedar Brook - Marceau Road,Upstream of road crossing,17831,,,
28,Gounamitz River,Just above ice bridge crossing on Marceau Road.,17951,,,
29,L Main Restigouche River,Counting fence location,16950,,,
30,S Br Burnthill Brook,,4620,,,
31,NE Br Clearwater Brook - Martin Road Crossing,NE Clearwater - Martin Road crossing (97 site: 5,6),5106,,
32,Claire Brook,Claire Brook,17787,,,
33,Rocky Brook - 18 Mile Pool,18 Mile Pool,5301,,,
34,Rocky Brook - Hurd Brook Pools,Mouth of Hurd Brook,5301,,,
35,Rocky Brook - Cold Spring Pool,Cold Spring Pool,5301,,,
36,Rocky Brook - Johnston Crossing,Johnston Crossing,5301,,,
37,Rocky Brook - Rocky Brook Camp,Rocky Brook Camp,5301,,,
38,Fish Brook - Bridge,Bridge,5400,,,
39,Sisters Brook - Little Sister Lake Road,Little Sister Lake Road,5210,,,
40,Sisters Brook - Fullerton Brook,Fullerton Brook,5210,,,
41,Clearwater Brook - Christiana Pool,Christiana Pool,4901,,,
42,Clearwater Brook - Salmon Falls Camp,Salmon Falls Camp,4901,,,
43,Clearwater Brook - Headwater Site,Clearwater headwater site,4901,,,
44,Clearwater Brook - Headwater Site,Clearwater headwater site,4901,,,
45,Headwater tributary of Clearwater Brook,Headwater tributary,5021,,,
46,Headwater tributary of Clearwater Brook,Headwater tributary,5008,,,
47,Clearwater Brook - McCoy Brook confluence,McCoy Brook confluence (97 site: 3,14,13),4901,
49,L NE Br Clearwater Brook - NN Road Crossing,Little Northeast - NN Road crossing,5083,,,
50,Clearwater Brook - Confluence of Pond Brook,Confluence of Pond Brook,4901,,,
51,Clearwater Brook - Martin Road Bridge,Martin Road Bridge,4901,,,
52,Lake Brook - Lower Road crossing,Lake Branch - Lower Road crossing,5145,,,
